,n_included,query_strategy,sample
0,10,random,0
1,10,random,1
2,10,random,2
3,10,random,3
4,10,random,4
5,10,random,5
6,10,random,6
7,10,random,7
8,10,random,8
9,10,random,9
10,10,random,10
11,10,random,11
12,10,random,12
13,10,random,13
14,10,random,14
15,10,random,15
16,10,random,16
17,10,random,17
18,10,random,18
19,10,random,19
20,10,random,20
21,10,random,21
22,10,random,22
23,10,random,23
24,10,random,24
25,10,random,25
26,10,random,26
27,10,random,27
28,10,random,28
29,10,random,29
30,10,random,30
31,10,random,31
32,10,random,32
33,10,random,33
34,10,random,34
35,10,random,35
36,10,random,36
37,10,random,37
38,10,random,38
39,10,random,39
40,10,random,40
41,10,random,41
42,10,random,42
43,10,random,43
44,10,random,44
45,10,random,45
46,10,random,46
47,10,random,47
48,10,random,48
49,10,random,49
50,10,lc,0
51,10,lc,1
52,10,lc,2
53,10,lc,3
54,10,lc,4
55,10,lc,5
56,10,lc,6
57,10,lc,7
58,10,lc,8
59,10,lc,9
60,10,lc,10
61,10,lc,11
62,10,lc,12
63,10,lc,13
64,10,lc,14
65,10,lc,15
66,10,lc,16
67,10,lc,17
68,10,lc,18
69,10,lc,19
70,10,lc,20
71,10,lc,21
72,10,lc,22
73,10,lc,23
74,10,lc,24
75,10,lc,25
76,10,lc,26
77,10,lc,27
78,10,lc,28
79,10,lc,29
80,10,lc,30
81,10,lc,31
82,10,lc,32
83,10,lc,33
84,10,lc,34
85,10,lc,35
86,10,lc,36
87,10,lc,37
88,10,lc,38
89,10,lc,39
90,10,lc,40
91,10,lc,41
92,10,lc,42
93,10,lc,43
94,10,lc,44
95,10,lc,45
96,10,lc,46
97,10,lc,47
98,10,lc,48
99,10,lc,49
100,15,random,0
101,15,random,1
102,15,random,2
103,15,random,3
104,15,random,4
105,15,random,5
106,15,random,6
107,15,random,7
108,15,random,8
109,15,random,9
110,15,random,10
111,15,random,11
112,15,random,12
113,15,random,13
114,15,random,14
115,15,random,15
116,15,random,16
117,15,random,17
118,15,random,18
119,15,random,19
120,15,random,20
121,15,random,21
122,15,random,22
123,15,random,23
124,15,random,24
125,15,random,25
126,15,random,26
127,15,random,27
128,15,random,28
129,15,random,29
130,15,random,30
131,15,random,31
132,15,random,32
133,15,random,33
134,15,random,34
135,15,random,35
136,15,random,36
137,15,random,37
138,15,random,38
139,15,random,39
140,15,random,40
141,15,random,41
142,15,random,42
143,15,random,43
144,15,random,44
145,15,random,45
146,15,random,46
147,15,random,47
148,15,random,48
149,15,random,49
150,15,lc,0
151,15,lc,1
152,15,lc,2
153,15,lc,3
154,15,lc,4
155,15,lc,5
156,15,lc,6
157,15,lc,7
158,15,lc,8
159,15,lc,9
160,15,lc,10
161,15,lc,11
162,15,lc,12
163,15,lc,13
164,15,lc,14
165,15,lc,15
166,15,lc,16
167,15,lc,17
168,15,lc,18
169,15,lc,19
170,15,lc,20
171,15,lc,21
172,15,lc,22
173,15,lc,23
174,15,lc,24
175,15,lc,25
176,15,lc,26
177,15,lc,27
178,15,lc,28
179,15,lc,29
180,15,lc,30
181,15,lc,31
182,15,lc,32
183,15,lc,33
184,15,lc,34
185,15,lc,35
186,15,lc,36
187,15,lc,37
188,15,lc,38
189,15,lc,39
190,15,lc,40
191,15,lc,41
192,15,lc,42
193,15,lc,43
194,15,lc,44
195,15,lc,45
196,15,lc,46
197,15,lc,47
198,15,lc,48
199,15,lc,49
200,20,random,0
201,20,random,1
202,20,random,2
203,20,random,3
204,20,random,4
205,20,random,5
206,20,random,6
207,20,random,7
208,20,random,8
209,20,random,9
210,20,random,10
211,20,random,11
212,20,random,12
213,20,random,13
214,20,random,14
215,20,random,15
216,20,random,16
217,20,random,17
218,20,random,18
219,20,random,19
220,20,random,20
221,20,random,21
222,20,random,22
223,20,random,23
224,20,random,24
225,20,random,25
226,20,random,26
227,20,random,27
228,20,random,28
229,20,random,29
230,20,random,30
231,20,random,31
232,20,random,32
233,20,random,33
234,20,random,34
235,20,random,35
236,20,random,36
237,20,random,37
238,20,random,38
239,20,random,39
240,20,random,40
241,20,random,41
242,20,random,42
243,20,random,43
244,20,random,44
245,20,random,45
246,20,random,46
247,20,random,47
248,20,random,48
249,20,random,49
250,20,lc,0
251,20,lc,1
252,20,lc,2
253,20,lc,3
254,20,lc,4
255,20,lc,5
256,20,lc,6
257,20,lc,7
258,20,lc,8
259,20,lc,9
260,20,lc,10
261,20,lc,11
262,20,lc,12
263,20,lc,13
264,20,lc,14
265,20,lc,15
266,20,lc,16
267,20,lc,17
268,20,lc,18
269,20,lc,19
270,20,lc,20
271,20,lc,21
272,20,lc,22
273,20,lc,23
274,20,lc,24
275,20,lc,25
276,20,lc,26
277,20,lc,27
278,20,lc,28
279,20,lc,29
280,20,lc,30
281,20,lc,31
282,20,lc,32
283,20,lc,33
284,20,lc,34
285,20,lc,35
286,20,lc,36
287,20,lc,37
288,20,lc,38
289,20,lc,39
290,20,lc,40
291,20,lc,41
292,20,lc,42
293,20,lc,43
294,20,lc,44
295,20,lc,45
296,20,lc,46
297,20,lc,47
298,20,lc,48
299,20,lc,49
